mmu:22019	ec:3.4.14.10
mmu:22235	ec:1.1.1.22
mmu:22271	ec:2.4.2.3
mmu:22275	ec:4.1.1.37
mmu:22276	ec:4.2.1.75
mmu:22375	ec:6.1.1.2
mmu:23831	ec:4.2.1.1
mmu:23917	ec:1.1.1.205
mmu:57813	ec:2.7.1.21
mmu:58193	ec:2.4.1.223
mmu:66204	ec:3.6.1.7
mmu:66401	ec:3.6.1.17
mmu:66522	ec:3.4.19.3
mmu:67092	ec:2.1.4.1
mmu:72039	ec:6.4.1.4
mmu:80911	ec:1.3.3.6
mmu:83768	ec:3.4.14.2
mmu:14732	ec:2.3.1.15
mmu:18948	ec:2.1.1.28
mmu:11650	ec:3.1.3.1
mmu:11648	ec:3.1.3.1
mmu:18534	ec:4.1.1.32
mmu:19072	ec:3.4.21.26
mmu:19063	ec:3.1.2.22
mmu:54397	ec:3.1.2.22
mmu:11565	ec:6.3.4.4
mmu:11566	ec:6.3.4.4
mmu:19702	ec:3.4.23.15
mmu:19703	ec:5.1.3.8
mmu:63857	ec:1.13.11.63
mmu:23918	ec:1.1.1.205
mmu:26441	ec:3.4.25.1
mmu:26442	ec:3.4.25.1
mmu:26443	ec:3.4.25.1
mmu:26444	ec:3.4.25.1
mmu:26445	ec:3.4.25.1
mmu:26446	ec:3.4.25.1
mmu:26897	ec:3.1.2.2
mmu:26912	ec:2.3.1.29
mmu:26971	ec:3.1.1.4
mmu:27357	ec:2.4.1.186
mmu:27369	ec:2.7.1.113
mmu:50770	ec:7.6.2.1
mmu:50771	ec:7.6.2.1
mmu:51797	ec:6.3.4.2
mmu:53618	ec:2.4.1.68
mmu:53895	ec:3.4.21.92
mmu:54369	ec:2.7.4.6
mmu:54616	ec:2.4.1.223
mmu:54616	ec:2.4.1.224
mmu:56078	ec:4.2.1.1
mmu:56219	ec:2.4.1.224
mmu:56307	ec:3.4.11.18
mmu:56357	ec:1.3.8.4
mmu:56421	ec:2.7.1.11
mmu:56464	ec:3.4.22.41
mmu:11298	ec:2.3.1.87
mmu:11364	ec:1.3.8.7
mmu:11409	ec:1.3.8.1
mmu:11423	ec:3.1.1.7
mmu:11430	ec:1.3.3.6
mmu:11434	ec:3.4.21.10
mmu:11486	ec:3.5.4.4
mmu:11544	ec:3.2.2.19
mmu:11564	ec:4.3.2.2
mmu:11647	ec:3.1.3.1
mmu:11669	ec:1.2.1.3
mmu:11670	ec:1.2.1.5
mmu:11671	ec:1.2.1.3
mmu:11677	ec:1.1.1.21
mmu:11684	ec:1.13.11.31
mmu:11702	ec:4.1.1.50
mmu:20249	ec:1.14.19.1
mmu:20250	ec:1.14.19.1
mmu:14711	ec:2.1.1.20
mmu:15117	ec:2.4.1.212
mmu:15116	ec:2.4.1.212
mmu:15118	ec:2.4.1.212
mmu:57377	ec:3.2.1.106
mmu:14782	ec:1.8.1.7
mmu:18607	ec:2.7.11.1
mmu:11674	ec:4.1.2.13
mmu:68671	ec:2.7.7.14
mmu:69772	ec:1.1.1.30
mmu:11637	ec:2.7.4.3
mmu:11639	ec:2.7.4.3
mmu:12709	ec:2.7.3.2
mmu:12715	ec:2.7.3.2
mmu:13139	ec:2.7.1.107
mmu:17855	ec:2.7.1.36
mmu:21877	ec:2.7.1.21
mmu:16612	ec:3.4.21.35
mmu:16622	ec:3.4.21.35
mmu:16615	ec:3.4.21.54
mmu:16618	ec:3.4.21.35
mmu:18746	ec:2.7.1.40
mmu:21915	ec:2.7.4.9
mmu:20652	ec:2.3.1.26
mmu:20768	ec:2.7.9.3
mmu:20860	ec:2.8.2.4
mmu:73649	ec:7.2.1.3
mmu:14864	ec:2.5.1.18
mmu:22321	ec:6.1.1.9
mmu:56720	ec:1.13.11.11
mmu:21391	ec:5.3.99.5
mmu:74185	ec:2.4.1.18
mmu:14571	ec:1.1.5.3
mmu:20444	ec:2.4.99.4
mmu:20442	ec:2.4.99.4
mmu:20443	ec:2.4.99.4
mmu:19044	ec:1.3.3.4
mmu:19044	ec:1.3.3.15
mmu:20454	ec:2.4.99.9
mmu:16816	ec:2.3.1.43
mmu:14081	ec:6.2.1.3
mmu:50790	ec:6.2.1.3
mmu:16832	ec:1.1.1.27
mmu:16833	ec:1.1.1.27
mmu:16889	ec:3.1.1.13
mmu:16948	ec:1.4.3.13
mmu:17155	ec:3.2.1.113
mmu:17156	ec:3.2.1.113
mmu:17229	ec:3.4.21.59
mmu:13479	ec:3.4.13.19
mmu:17769	ec:1.5.1.20
mmu:18103	ec:2.7.4.6
mmu:56520	ec:2.7.4.6
mmu:18548	ec:3.4.21.93
mmu:18549	ec:3.4.21.94
mmu:17380	ec:3.4.24.11
mmu:18010	ec:3.2.1.18
mmu:72560	ec:3.4.17.21
mmu:18107	ec:2.3.1.97
mmu:18108	ec:2.3.1.97
mmu:15115	ec:6.1.1.21
mmu:114663	ec:3.1.3.25
mmu:18452	ec:1.14.11.2
mmu:18778	ec:3.1.1.4
mmu:18781	ec:3.1.1.4
mmu:18784	ec:3.1.1.4
mmu:18782	ec:3.1.1.4
mmu:26970	ec:3.1.1.4
mmu:14423	ec:2.4.1.41
mmu:16922	ec:1.14.11.18
mmu:18599	ec:3.5.3.15
mmu:18601	ec:3.5.3.15
mmu:18602	ec:3.5.3.15
mmu:18618	ec:2.1.1.17
mmu:18618	ec:2.1.1.71
mmu:22018	ec:1.11.1.8
mmu:19224	ec:1.14.99.1
mmu:18663	ec:2.7.2.3
mmu:18478	ec:1.14.16.1
mmu:14756	ec:3.1.4.50
mmu:19309	ec:2.4.1.1
mmu:18806	ec:3.1.4.4
mmu:11964	ec:7.1.2.2
mmu:19172	ec:3.4.25.1
mmu:19895	ec:5.3.1.6
mmu:18704	ec:2.7.1.154
mmu:21991	ec:5.3.1.1
mmu:12751	ec:3.4.14.9
mmu:22021	ec:2.8.2.20
mmu:22022	ec:2.8.2.20
mmu:13190	ec:5.3.3.12
mmu:22173	ec:1.14.18.1
mmu:66447	ec:2.5.1.18
mmu:12753	ec:2.3.1.48
mmu:83553	ec:2.2.1.1
mmu:16331	ec:3.1.3.86
mmu:67676	ec:3.1.26.5
mmu:22238	ec:2.4.1.17
mmu:22262	ec:1.7.3.3
mmu:56451	ec:6.2.1.4
mmu:56451	ec:6.2.1.5
mmu:21974	ec:5.99.1.3
mmu:54218	ec:2.4.1.62
mmu:20448	ec:2.4.99.7
mmu:11947	ec:7.1.2.2
mmu:56361	ec:5.4.99.12
mmu:57028	ec:3.1.3.74
mmu:19286	ec:4.2.3.12
mmu:19286	ec:4.1.2.50
mmu:26384	ec:3.5.99.6
mmu:70383	ec:2.5.1.141
mmu:17096	ec:2.7.10.2
mmu:20963	ec:2.7.10.2
mmu:16818	ec:2.7.10.2
mmu:14360	ec:2.7.10.2
mmu:18799	ec:3.1.4.11
mmu:20445	ec:2.4.99.3
mmu:72469	ec:3.1.4.11
mmu:18802	ec:3.1.4.11
mmu:18795	ec:3.1.4.11
mmu:18797	ec:3.1.4.11
mmu:18798	ec:3.1.4.11
mmu:234779	ec:3.1.4.11
mmu:74055	ec:3.1.4.11
mmu:114875	ec:3.1.4.11
mmu:20449	ec:2.4.99.8
mmu:66161	ec:3.1.26.5
mmu:12974	ec:2.3.3.1
mmu:54364	ec:3.1.26.5
mmu:76654	ec:2.4.2.3
mmu:80905	ec:2.7.7.7
mmu:26447	ec:2.7.7.7
mmu:27015	ec:2.7.7.7
mmu:56626	ec:2.7.7.7
mmu:54125	ec:2.7.7.7
mmu:19075	ec:2.7.7.102
mmu:18968	ec:2.7.7.7
mmu:18971	ec:2.7.7.7
mmu:18973	ec:2.7.7.7
mmu:18975	ec:2.7.7.7
mmu:18970	ec:2.7.7.7
mmu:20020	ec:2.7.7.6
mmu:21969	ec:5.99.1.2
mmu:11937	ec:3.6.3.8
mmu:11938	ec:3.6.3.8
mmu:53313	ec:3.6.3.8
mmu:19819	ec:3.1.26.4
mmu:19091	ec:2.7.11.12
mmu:208715	ec:2.3.3.10
mmu:14534	ec:2.3.1.48
mmu:18519	ec:2.3.1.48
mmu:110208	ec:1.1.1.44
mmu:110208	ec:1.1.1.343
mmu:140484	ec:2.4.1.221
mmu:170442	ec:1.14.11.1
mmu:171210	ec:3.1.2.2
mmu:171281	ec:3.1.2.2
mmu:192156	ec:4.1.1.33
mmu:192185	ec:2.7.1.23
mmu:223920	ec:2.3.1.26
mmu:232449	ec:4.1.2.4
mmu:236539	ec:1.1.1.95
mmu:236539	ec:1.1.1.399
mmu:246277	ec:4.1.1.29
mmu:268656	ec:2.3.1.50
mmu:269378	ec:3.3.1.1
mmu:269951	ec:1.1.1.42
mmu:270076	ec:1.3.8.6
mmu:231380	ec:6.2.1.45
mmu:74153	ec:6.2.1.45
mmu:11534	ec:2.7.1.20
mmu:11636	ec:2.7.4.3
mmu:11685	ec:1.13.11.31
mmu:11821	ec:2.4.2.7
mmu:11982	ec:7.6.2.1
mmu:12346	ec:4.2.1.1
mmu:13034	ec:3.4.23.34
mmu:13166	ec:1.14.17.1
mmu:20017	ec:2.7.7.6
mmu:15288	ec:2.5.1.61
mmu:22256	ec:3.2.2.27
mmu:54613	ec:2.4.99.6
mmu:14121	ec:3.1.3.11
mmu:171212	ec:2.4.1.41
mmu:108760	ec:2.4.1.41
mmu:13056	ec:7.2.1.3
mmu:67738	ec:5.2.1.8
mmu:110078	ec:2.4.1.1
mmu:71665	ec:3.2.1.51
mmu:12531	ec:3.1.3.48
mmu:12532	ec:3.1.3.48
mmu:12326	ec:2.7.11.17
mmu:19229	ec:2.7.10.2
mmu:14357	ec:2.3.2.27
mmu:207521	ec:2.3.2.27
mmu:209200	ec:2.3.2.27
mmu:74198	ec:2.3.2.27
mmu:80904	ec:2.3.2.27
mmu:17175	ec:3.4.21.104
mmu:81003	ec:2.3.2.27
mmu:15233	ec:1.13.11.5
mmu:11491	ec:3.4.24.86
mmu:15182	ec:3.5.1.98
mmu:433759	ec:3.5.1.98
mmu:110651	ec:2.7.11.1
mmu:18041	ec:2.8.1.7
mmu:234854	ec:2.7.11.22
mmu:74145	ec:2.3.2.13
mmu:13180	ec:4.2.1.96
mmu:13195	ec:4.1.1.28
mmu:13195	ec:4.1.1.105
mmu:13648	ec:3.4.21.35
mmu:13706	ec:3.4.21.71
mmu:13897	ec:3.1.1.1
mmu:60507	ec:2.4.2.29
mmu:14263	ec:1.14.13.8
mmu:14430	ec:2.7.7.12
mmu:14528	ec:3.5.4.16
mmu:14590	ec:3.4.19.9
mmu:14594	ec:2.4.1.87
mmu:14651	ec:3.1.2.6
mmu:14857	ec:2.5.1.18
mmu:14869	ec:2.5.1.18
mmu:15360	ec:2.3.3.10
mmu:64705	ec:3.5.2.2
mmu:16613	ec:3.4.21.35
mmu:16623	ec:3.4.21.35
mmu:16624	ec:3.4.21.35
mmu:16848	ec:2.4.1.222
mmu:17161	ec:1.4.3.4
mmu:17305	ec:2.4.1.222
mmu:66248	ec:2.4.1.117
mmu:66350	ec:3.1.1.4
mmu:66355	ec:1.7.1.7
mmu:66368	ec:6.5.1.4
mmu:18113	ec:2.1.1.1
mmu:18195	ec:3.6.4.6
mmu:67375	ec:2.4.2.19
mmu:69606	ec:2.1.2.9
mmu:69836	ec:3.1.1.4
mmu:70560	ec:6.1.1.2
mmu:19152	ec:3.4.21.76
